timestamp,open,high,low,close,volume,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume,datetime
1577836800000,7195.24,7196.25,7175.46,7177.02,511.814901,3675856.57948543,7640,226.153126,1624289.18965037,2020-01-01 00:00:00+00:00
1577840400000,7176.47,7230.0,7175.71,7216.27,883.052603,6365952.54111276,9033,570.721419,4114804.04969093,2020-01-01 01:00:00+00:00
1577844000000,7215.52,7244.87,7211.41,7242.85,655.156809,4736719.38819138,7466,357.180263,2582513.82508776,2020-01-01 02:00:00+00:00
1577847600000,7242.66,7245.0,7220.0,7225.01,783.724867,5667367.29300603,8337,394.810811,2854987.35529137,2020-01-01 03:00:00+00:00
1577851200000,7225.0,7230.0,7215.03,7217.27,467.812578,3379093.84979077,5896,243.514706,1759053.44836794,2020-01-01 04:00:00+00:00
1577854800000,7217.26,7229.76,7216.65,7224.21,344.670596,2489507.24663728,6529,194.898525,1407859.39772595,2020-01-01 05:00:00+00:00
1577858400000,7224.24,7236.27,7221.51,7225.62,621.467023,4493048.24570801,9718,288.40033,2085093.09034902,2020-01-01 06:00:00+00:00
1577862000000,7225.88,7232.94,7199.11,7209.83,627.344854,4528532.93295699,7848,322.897675,2330844.43949271,2020-01-01 07:00:00+00:00
1577865600000,7209.83,7210.0,7180.0,7200.64,915.545974,6584766.36902302,8847,440.887464,3171436.98880032,2020-01-01 08:00:00+00:00
1577869200000,7200.29,7210.51,7188.0,7188.77,636.386102,4580279.61372286,7177,287.518333,2069473.90367405,2020-01-01 09:00:00+00:00
1577872800000,7189.07,7210.0,7185.2,7202.0,537.762804,3872434.23941144,6417,288.278481,2075906.2694043,2020-01-01 10:00:00+00:00
1577876400000,7202.01,7237.73,7188.61,7197.2,1076.959481,7769838.36840155,11066,545.660036,3936878.73439429,2020-01-01 11:00:00+00:00
1577880000000,7197.2,7233.33,7196.15,7225.59,868.75358,6269445.53871061,9402,504.454945,3640707.64255483,2020-01-01 12:00:00+00:00
