timestamp,open,high,low,close,datetime
1772928000000,70878.0,71315.0,67038.0,67271.0,2026-03-08 00:00:00+00:00
1773273600000,67268.0,71612.0,65727.0,70227.0,2026-03-12 00:00:00+00:00
1773619200000,70203.0,73839.0,69265.0,72682.0,2026-03-16 00:00:00+00:00
1773964800000,72799.0,75937.0,68934.0,69871.0,2026-03-20 00:00:00+00:00
1774310400000,69912.0,71646.0,67564.0,70893.0,2026-03-24 00:00:00+00:00
1774656000000,70917.0,71922.0,65587.0,66321.0,2026-03-28 00:00:00+00:00
1775001600000,66328.0,68286.0,65112.0,68232.0,2026-04-01 00:00:00+00:00
1775347200000,68231.0,69136.0,65819.0,67304.0,2026-04-05 00:00:00+00:00
1775692800000,67306.0,72698.0,66634.0,71117.0,2026-04-09 00:00:00+00:00
1776038400000,71004.0,73721.0,70522.0,70757.0,2026-04-13 00:00:00+00:00
1776384000000,70651.0,75829.0,70627.0,75149.0,2026-04-17 00:00:00+00:00
1776729600000,75135.0,78240.0,73854.0,75875.0,2026-04-21 00:00:00+00:00
1777075200000,75885.0,79389.0,74935.0,77445.0,2026-04-25 00:00:00+00:00
1777420800000,77490.0,79400.0,75706.0,76345.0,2026-04-29 00:00:00+00:00
1777766400000,76343.0,79005.0,75103.0,78655.0,2026-05-03 00:00:00+00:00
1778112000000,78666.0,82752.0,78095.0,81425.0,2026-05-07 00:00:00+00:00
1778457600000,81450.0,82348.0,79287.0,82146.0,2026-05-11 00:00:00+00:00
1778803200000,82147.0,82147.0,78795.0,81052.0,2026-05-15 00:00:00+00:00
1779148800000,81118.0,81595.0,76055.0,76952.0,2026-05-19 00:00:00+00:00
1779494400000,76928.0,78034.0,75419.0,75483.0,2026-05-23 00:00:00+00:00
1779840000000,75501.0,77881.0,74344.0,75822.0,2026-05-27 00:00:00+00:00
1780185600000,75870.0,75958.0,72515.0,73751.0,2026-05-31 00:00:00+00:00
1780531200000,73758.0,74110.0,64022.0,64022.0,2026-06-04 00:00:00+00:00
