datetime,open,high,low,close,volume,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume,daily_return,daily_return_pct,cummax,drawdown_from_ath,drawdown_pct,rv_7d,rv_14d,rv_30d,rv_7d_label,rv_14d_label,rv_30d_label,n_hourly_obs,market_cap,cg_close,btc_dominance_pct
2020-01-01 00:00:00+00:00,7195.24,7255.0,7175.15,7200.85,16792.388165,121214452.11606228,194010,8946.955535000001,64597785.212334335,,,7200.85,0.0,0.0,0.020019491717074147,0.018205240899779696,0.02791218952568132,2.0%,1.8%,2.8%,24,,,56.06872307855222
2020-01-02 00:00:00+00:00,7200.77,7212.5,6924.74,6965.71,31951.483932,225982341.3011403,302667,15141.61134,107060829.07806464,-0.032654478290757405,-3.2654478290757405,7200.85,-235.14000000000033,-3.2654478290757405,0.015108070580355027,0.016086526473375162,0.09133355267834196,1.5%,1.6%,9.1%,24,,,56.06872307855222
2020-01-03 00:00:00+00:00,6965.49,7405.0,6871.04,7344.96,68428.500451,495098582.9620354,519854,35595.496273,257713113.8517286,0.054445275499554135,5.4445275499554135,7344.96,0.0,0.0,0.016300505420739377,0.019327722339315453,0.025365406703833873,1.6%,1.9%,2.5%,24,,,56.06872307855222
2020-01-04 00:00:00+00:00,7345.0,7404.0,7272.21,7354.11,29987.974976999998,219874240.9399481,279370,16369.382248,120035111.72407165,0.0012457521892561552,0.12457521892561552,7354.11,0.0,0.0,0.016065666804822052,0.01921189458425256,0.024812057275269032,1.6%,1.9%,2.5%,24,,,56.06872307855222
2020-01-05 00:00:00+00:00,7354.19,7495.0,7318.0,7358.75,38331.085604,284848683.7891762,329209,19455.369564,144600094.38965073,0.000630939705824396,0.0630939705824396,7358.75,0.0,0.0,0.016041149976386004,0.018923484384680344,0.024782886551116594,1.6%,1.9%,2.5%,24,,,56.06872307855222
2020-01-06 00:00:00+00:00,7357.64,7795.34,7346.76,7758.0,54635.695316,413330481.2260492,449937,28853.76777,218411610.65942463,0.05425513844063201,5.425513844063201,7758.0,0.0,0.0,0.029687415521423198,0.028945843995204754,0.02379003556334985,3.0%,2.9%,2.4%,24,,,56.06872307855222
2020-01-07 00:00:00+00:00,7758.9,8207.68,7723.71,8145.28,91171.684661,724202791.1429626,685315,46192.111549,366866967.6139318,0.049920082495488405,4.9920082495488405,8145.28,0.0,0.0,0.023292188801086886,0.026823352912517282,0.024727032505285712,2.3%,2.7%,2.5%,24,,,56.06872307855222
2020-01-08 00:00:00+00:00,8145.92,8455.0,7870.0,8055.98,112622.64263999999,926410232.6045058,830375,55071.109514,453284250.45453954,-0.010963404572955193,-1.0963404572955193,8145.28,-89.30000000000018,-1.0963404572955193,0.02517291402287116,0.031553471040281986,0.025846039405864923,2.5%,3.2%,2.6%,24,,,56.06872307855222
2020-01-09 00:00:00+00:00,8054.72,8055.96,7750.0,7817.76,64239.51983,507258250.4748796,478800,31645.759221,249899679.33440104,-0.02957057986737799,-2.957057986737799,8145.28,-327.5199999999995,-4.020979020979021,0.029537250640769522,0.02927146964076488,0.02401248045804528,3.0%,2.9%,2.4%,24,,,56.06872307855222
2020-01-10 00:00:00+00:00,7817.74,8199.0,7672.0,8197.02,82406.777448,652774220.388437,606101,42361.755307,335845385.67483306,0.048512617424940174,4.851261742494017,8197.02,0.0,0.0,0.027853960739629136,0.028930329468114812,0.025669425608673597,2.8%,2.9%,2.6%,24,,,56.06872307855222
2020-01-11 00:00:00+00:00,8198.86,8286.34,8003.16,8020.01,54810.032667,445034349.56470203,469131,27916.124974,226716001.44288605,-0.02159443309885789,-2.159443309885789,8197.02,-177.01000000000022,-2.159443309885789,0.023993144300801916,0.03120200296447843,0.025580179647341928,2.4%,3.1%,2.6%,24,,,56.06872307855222
2020-01-12 00:00:00+00:00,8020.01,8197.0,7960.0,8184.98,38131.494336,309351920.45885,350662,19718.541096,159972663.9929187,0.02056979978827944,2.056979978827944,8197.02,-12.040000000000873,-0.14688264759633585,0.026380966450377595,0.028259562856722528,0.025295527055875597,2.6%,2.8%,2.5%,24,,,56.06872307855222
2020-01-13 00:00:00+00:00,8184.97,8196.0,8055.89,8110.34,31159.755683,252656965.35815012,289144,15215.226501,123407351.91807935,-0.00911914262466118,-0.9119142624661181,8197.02,-86.68000000000029,-1.0574574662499336,0.024225202944349336,0.027161486057520418,0.025674129114822034,2.4%,2.7%,2.6%,24,,,56.06872307855222
